1 img001_x4_HR.png	img001_x4_SR.png
92 img092_x4_HR.png	img092_x4_SR.png
19.7092	0.6984	
93 img093_x4_HR.png	img093_x4_SR.png
30.7687	0.9403	
94 img094_x4_HR.png	img094_x4_SR.png
27.5095	0.7987	
95 img095_x4_HR.png	img095_x4_SR.png
20.4836	0.4779	
96 img096_x4_HR.png	img096_x4_SR.png
26.2817	0.8931	
97 img097_x4_HR.png	img097_x4_SR.png
25.2747	0.7842	
98 img098_x4_HR.png	img098_x4_SR.png
20.9571	0.5614	
99 img099_x4_HR.png	img099_x4_SR.png
26.7832	0.8290	
100 img100_x4_HR.png	img100_x4_SR.png
27.1008	0.7732	
avg_psnr:26.7074	avg_ssim:0.8051
