92 78004_x2_HR.png	78004_x2_SR.png
32.2529	0.9176	
93 8023_x2_HR.png	8023_x2_SR.png
37.8840	0.9727	
94 85048_x2_HR.png	85048_x2_SR.png
31.5887	0.9230	
95 86000_x2_HR.png	86000_x2_SR.png
33.8835	0.9556	
96 86016_x2_HR.png	86016_x2_SR.png
23.8882	0.6258	
97 86068_x2_HR.png	86068_x2_SR.png
30.0662	0.7911	
98 87046_x2_HR.png	87046_x2_SR.png
30.7549	0.9250	
99 89072_x2_HR.png	89072_x2_SR.png
31.5078	0.9047	
100 97033_x2_HR.png	97033_x2_SR.png
30.2920	0.9128	
avg_psnr:32.3320	avg_ssim:0.9017
