1 img001_x2_HR.png	img001_x2_SR.png
92 img092_x2_HR.png	img092_x2_SR.png
24.5283	0.8659	
93 img093_x2_HR.png	img093_x2_SR.png
38.3672	0.9783	
94 img094_x2_HR.png	img094_x2_SR.png
32.3890	0.9225	
95 img095_x2_HR.png	img095_x2_SR.png
24.4436	0.7852	
96 img096_x2_HR.png	img096_x2_SR.png
35.2392	0.9839	
97 img097_x2_HR.png	img097_x2_SR.png
30.9778	0.9364	
98 img098_x2_HR.png	img098_x2_SR.png
25.5091	0.8432	
99 img099_x2_HR.png	img099_x2_SR.png
34.0030	0.9615	
100 img100_x2_HR.png	img100_x2_SR.png
31.8031	0.9183	
avg_psnr:33.0710	avg_ssim:0.9369
